ID,QC1,QC2,QC3,QC4,QC5
2Q99832,523714.9875,234820.7061,595378.3684,875308.4082,838880.4944
2Q99873,90802.32968,0,109751.9031,215358.6854,0
2Q99878,0,672466.3854,180243.4716,0,0
2Q99879,256644.3559,74523.21358,1482164.804,0,1548336.336
2Q9BPX5,85719.78357,89940.76102,96519.08705,62697.43033,0
2Q9BQA9,72148.77463,0,97636.72353,55553.51051,47762.70003
2Q9BQB6,524083.5932,241058.2669,401732.2001,262603.8387,576433.4567
2Q9BR76,80304.43917,137999.516,94122.87442,117281.1421,128534.5891
2Q9BRA2,120628.8503,86656.0511,129180.8958,81813.89438,104699.6161
2Q9BRX8,45315.33237,0,0,0,40935.44184
2Q9BS26,248071.6403,738621.0164,546515.3012,413188.5703,568582.1567
2Q9BS40,78748.92309,123847.7242,88810.97172,71398.45987,161963.5135
2Q9BSJ8,356568.0971,193894.3152,100980.6919,421868.099,232709.5359
2Q9BT78,43637.64983,59832.80241,0,0,69961.82936
2Q9BTT0,53282.48142,66774.04341,77182.1876,44173.93539,58687.99956
2Q9BTV4,681730.988,299880.7234,52080.9662,256289.3966,341213.0038
2Q9BTY2,0,35415.09769,54693.55325,0,64716.0741
2Q9BU23,72455.24394,0,0,0,0
2Q9BUJ2,0,0,277415.2583,147631.2022,0
2Q9BUL8,0,71349.70253,74592.84738,0,0
2Q9BUT1,99287.63304,157468.0029,166840.7748,137469.2507,96604.71959
2Q9BVC6,79937.93978,200731.3073,75364.46361,367199.5157,320582.2607
2Q9BVK6,299718.5656,637499.5581,854044.1571,791817.4524,1017202.445
2Q9BW30,401158.8559,259762.2617,729762.9797,512510.8961,391150.2704
2Q9BWH2,53475.20955,0,0,70885.83581,0
2Q9BWM7,178068.1509,264383.9641,274822.3417,232242.4623,185330.0318
2Q9BWS9,55856.40241,401245.4293,416574.4127,284183.8404,131823.1408
2Q9BXN1,2204156.808,2386866.038,2282392.529,1632928.291,2588211.986
2Q9BXS5,124188.5282,0,0,47525.79513,38187.48682
2Q9BY50,1208605.453,945364.0118,726311.7182,617977.9208,922752.6164
2Q9BZH6,229746.6709,0,237904.5732,234347.2764,0
2Q9BZQ8,48574.85997,105734.4733,0,0,0
2Q9BZZ5,210126.3158,0,381096.16,163519.1532,146017.3169
2Q9C005,77795.81405,0,0,0,0
2Q9GZV4,150707.0759,0,0,0,244505.2242
2Q9H0U3,83853.58554,252099.9656,442744.9886,0,180130.1851
2Q9H0U4,52892.81253,73777.83376,100327.9922,0,48327.65634
2Q9H1E5,38488.75469,0,0,104901.2145,0
2Q9H223,547221.4999,350927.9476,683412.3593,311953.8059,459226.1013
2Q9H299,544325.3122,251439.7224,343176.9893,497426.3956,599518.9023
2Q9H2U2,75985.43345,91078.81179,247248.0143,157940.2644,345485.3103
2Q9H2X3,69000.8819,61679.74589,71772.827,0,0
2Q9H3G5,0,100634.9634,70320.79367,0,0
2Q9H3N1,94512.60941,347426.9211,177131.9716,100997.124,293037.1268
