Majority protein IDs,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
P39023,8470300000,9559700000,10871000000,9954500000,10066000000,11059000000,9550200000,10565000000
P39060,0,0,0,4706400,0,0,0,0
P39656,3113400000,3216700000,3135500000,3246400000,3026900000,3336100000,3227100000,3380400000
P39687,5254100000,5036300000,5216900000,5525500000,5219600000,4739800000,5222000000,5146500000
P39748,4430900000,4306700000,4275200000,4488300000,4392400000,4142300000,4331100000,4171100000
P40121,3946600000,3921200000,3902300000,4056800000,4011600000,4831200000,4104700000,3132600000
P40222,89395000,76941000,0,104840000,89459000,92400000,97063000,0
P40227,14954000000,14146000000,13269000000,13131000000,14780000000,14048000000,13144000000,14641000000
P40429,3742600000,4930500000,4306800000,4344400000,3836800000,4630500000,4346100000,3960800000
P40616,913570000,865460000,810610000,776850000,993440000,971190000,917380000,861710000
P40763,792280000,761570000,740540000,745050000,844230000,768250000,760930000,856870000
P40818,81480000,108110000,76340000,60037000,70817000,88546000,72607000,0
P40855,70438000,71082000,64857000,73769000,68474000,115780000,87670000,86997000
P40925,13246000000,13634000000,11603000000,12416000000,13442000000,12513000000,11732000000,11626000000
P40926,29505000000,28256000000,27734000000,27114000000,32764000000,30002000000,26605000000,28188000000
P40937,931920000,895210000,753180000,781920000,988020000,854530000,780710000,812290000
P40938,385250000,443990000,391040000,443240000,482500000,459110000,421270000,450070000
P40939,5634400000,4471100000,5282300000,5067700000,5229900000,5145700000,5321400000,5247800000
P41091,3609300000,3909200000,3703500000,4125100000,3674000000,3869600000,3470300000,3697100000
P41134,0,0,0,0,0,0,0,0
P41208,51726000,61477000,50697000,43786000,59269000,71980000,63462000,0
P41214,0,0,0,37241000,0,0,0,0
P41223,85807000,101510000,97245000,122810000,108850000,112070000,111110000,140450000
