"ID","log2sum","n","type"
"P46781",1.54688781835735,4,"up"
"P46782",0.260897991089984,2,"ns"
"P46939",-0.194593396403802,1,"ns"
"P46940",-0.382913475083524,4,"ns"
"P46977",1.54383400936012,2,"up"
"P47755",0.296256188807433,1,"ns"
"P48643",0.508417868418282,2,"up"
"P48735",0.360665434010239,2,"ns"
"P49207",0.287812710371581,1,"ns"
"P49257",2.34268427572416,2,"up"
"P49327",0.481992645314712,2,"ns"
"P49354",-0.125589793995933,1,"ns"
"P49368",0.586480184912002,1,"up"
"P49419",-0.414900626965259,2,"ns"
"P49427",0.359859764353066,1,"ns"
"P49588",-0.0725260798937867,1,"ns"
"P49591",-0.177094624667694,1,"ns"
"P49721",-0.0771337710436107,1,"ns"
"P49746",0.0538847843570318,1,"ns"
"P49747",1.98885039692842,5,"up"
"P49748",0.687264711619932,2,"up"
"P49821",0.0492287756524952,1,"ns"
"P49902",0.288225748651184,1,"ns"
"P50135",-0.390882925550497,1,"ns"
"P50238",0.704313976890315,1,"up"
"P50454",-0.213210683120903,2,"ns"
"P50570",0.262605685353638,1,"ns"
"P50914",-0.117388529702611,1,"ns"
"P50990",0.163679889410652,1,"ns"
"P50991",0.150488968446411,1,"ns"
"P50995",-0.26529363755567,1,"ns"
"P51148",-0.213284887936286,1,"ns"
"P51553",0.418465233301741,1,"ns"
"P51572",0.553978933431657,1,"up"
"P51649",0.757145585608542,2,"up"
"P51659",0.502247011813813,1,"up"
"P51884",-0.102100986490586,1,"ns"
"P51888",0.307856823022707,5,"ns"
"P51911",-0.0228018836525239,1,"ns"
"P51991",-0.532064764784939,1,"down"
"P52179",0.294040640393869,1,"ns"
"P52209",-0.170567082113539,3,"ns"
"P52272",0.671521073211912,2,"up"
"P52565",-0.793233239821122,3,"down"
"P52566",-0.357093797164806,1,"ns"
"P52594",0.369661119059777,1,"ns"
"P52788",0.6074602950249,1,"up"
"P52895",0.174188402992007,2,"ns"
"P52907",0.339112637332121,1,"ns"
"P53396",0.113975828902933,1,"ns"
"P53618",0.333663024213419,1,"ns"
"P54136",0.138036205950442,1,"ns"
"P54296",-0.23129466431261,1,"ns"
"P54619",0.0145241952893325,1,"ns"
"P54687",-0.0054694987908653,1,"ns"
"P54886",0.856240864573527,1,"up"
"P55001",0.153099434519322,1,"ns"
"P55072",0.278161952309934,1,"ns"
"P55735",0.289719885458066,1,"ns"
"P55769",-0.205408394462031,1,"ns"
"P55809",0.177324857435627,1,"ns"
"P55884",0.757039834020934,1,"up"
"P55899",-0.148616298589671,1,"ns"
"P56385",1.07085237732099,1,"up"
"P59666",0.681257784302915,1,"up"
"P59768",-0.164766753783411,1,"ns"
"P59998",0.571915265510985,2,"up"
"P60059",-0.914025939875587,1,"down"
"P60174",0.384853520217102,1,"ns"
"P60709",0.00293802090061385,3,"ns"
"P60866",-0.414918780417374,4,"ns"
"P60903",0.015782026445882,1,"ns"
"P61019",-0.734864767307755,1,"down"
"P61088",0.423537776803414,1,"ns"
"P61158",0.777396136086757,2,"up"
"P61160",1.18754893839014,2,"up"
"P61247",0.305431599370639,1,"ns"
"P61313",0.0262456653200981,1,"ns"
"P61353",0.554797148933397,1,"up"
"P61586",0.124551954007255,1,"ns"
"P61619",1.12757015273599,3,"up"
"P61981",0.513151794327403,2,"up"
"P62081",0.11657610441439,1,"ns"
"P62249",-1.30306671522318,1,"down"
"P62263",0.804494987114535,2,"up"
"P62269",0.444413097401499,1,"ns"
"P62280",0.33209135785893,1,"ns"
"P62314",0.470958442414727,1,"ns"
"P62333",0.271725138767475,1,"ns"
"P62424",1.19001412026896,2,"up"
"P62753",0.106390003074144,2,"ns"
"P62805",0.00332845639555834,2,"ns"
"P62826",-0.253075460243328,1,"ns"
"P62829",-0.93465841411913,1,"down"
"P62854",-2.62785106914003,2,"down"
"P62873",-0.242237212883585,2,"ns"
"P62879",0.0584404836913864,1,"ns"
"P62913",-0.136711794869865,2,"ns"
"P62917",0.52197347799614,1,"up"
"P62942",-1.4670547710221,1,"down"
"P63104",0.561060412781583,2,"up"
"P63208",0.204664801960629,1,"ns"
"P63218",0.0784285318872026,1,"ns"
"P63241",-0.508609712218306,1,"down"
"P63244",-1.02006141386152,2,"down"
"P67936",0.655306691727751,3,"up"
"P78382",-0.494214532240482,1,"ns"
"P78417",1.03852115689321,1,"up"
"P78527",2.6329348823458,4,"up"
"P78559",-0.279346885821982,1,"ns"
"P84077",0.111185406365389,1,"ns"
"P84085",-0.646372382703221,1,"down"
"P84090",-0.0448267853109368,1,"ns"
"P84098",0.375882673882931,2,"ns"
"P98082",0.647873980220301,2,"up"
"P98160",2.27009633488601,7,"up"
"Q00325",-0.000217157297943855,1,"ns"
"Q00341",-0.374351472563306,3,"ns"
"Q00610",1.92819350169656,7,"up"
"Q00765",0.140527172081145,1,"ns"
"Q00796",0.402200799037951,1,"ns"
"Q00839",0.89059832261666,2,"up"
"Q01082",-0.38617220457887,8,"ns"
"Q01518",-0.601177180336648,1,"down"
"Q01658",0.0251090726570638,1,"ns"
"Q02218",0.338456695639811,2,"ns"
"Q02543",-0.226489141211073,1,"ns"
"Q02790",-0.328815707997393,1,"ns"
"Q02878",0.156653032671376,1,"ns"
"Q02978",0.264207897397786,1,"ns"
"Q04760",0.0841972050566366,2,"ns"
"Q04837",-0.174421651801014,2,"ns"
"Q04941",1.10665369730899,1,"up"
"Q05707",-1.73149988421182,10,"down"
"Q06124",0.300957674160597,1,"ns"
"Q06278",-0.0591106627431299,1,"ns"
"Q06323",0.255897366410428,1,"ns"
"Q07020",-0.167084635642357,1,"ns"
"Q07065",-0.0895177995436425,1,"ns"
"Q07507",0.279202587632814,1,"ns"
"Q07666",-0.940544759696937,1,"down"
"Q07954",-0.570520531040953,6,"down"
